"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"377","Rudy Gay","Uta","F-G","36.6","53","14.6","17.3","11.7","44","0.864","148","0.486","116","0.241","0.432","0.469","5","3","1","0.4","0.3","0.7","8","6","9","6.8","100.7","109.9"
"378","George Hill","Mil","G","36.9","35","19.1","11.3","16.9","46","0.739","58","0.621","74","0.311","0.534","0.575","5","1.9","2.5","0.5","0.1","0.8","6.9","7.5","9.5","6","120.9","109.4"
"379","Jonathan Isaac","Orl","F","25.5","11","11.3","21.1","7","9","0.556","38","0.421","15","0.4","0.472","0.483","5","4","0.5","1.3","0.4","0.4","9","5.5","9.5","7.6","108.5","105.8"
"380","Kira Lewis Jr.","Nor","G","21.9","21","10.4","19.9","10.7","20","0.85","53","0.453","30","0.433","0.524","0.566","5","1.6","0.9","0.4","0.1","0.5","6.5","5.8","7.4","7.4","112.8","104.5"
"381","Cody Martin","Cha","F","27.5","7","19.1","12.9","5.2","7","0.571","22","0.5","14","0.214","0.431","0.448","5","3.4","1.6","0.6","0.1","0.3","8.4","6.6","10","6.3","108.3","109.5"
"382","Chimezie Metu","Sac","F-C","26","56","10.9","17","13.2","54","0.759","155","0.684","35","0.257","0.629","0.655","5","3","0.7","0.4","0.3","0.5","8","5.7","8.7","8","126.4","104.2"
"383","Justin Holiday","Dal","F-G","33.9","10","17.8","13.4","13.5","2","0","10","0.5","35","0.371","0.544","0.534","4.9","1.7","1","0.9","0.6","0.7","6.6","5.9","7.6","4.6","98.8","107.7"
"384","Derrick Jones Jr.","Chi","F","26.1","51","14","13.9","10.6","68","0.794","121","0.595","55","0.327","0.563","0.612","4.9","2.4","0.6","0.4","0.6","0.4","7.4","5.5","8","5.5","126.2","106.5"
"385","Eugene Omoruyi","Okc","F","26.1","23","11.8","18.7","14.5","28","0.607","63","0.571","31","0.258","0.511","0.531","4.9","2.3","0.5","0.6","0","0.7","7.2","5.4","7.7","6","105.3","99.4"
"386","Isaiah Hartenstein","Nyk","C-F","24.9","71","19.6","11.3","16.5","58","0.741","248","0.556","36","0.222","0.528","0.554","4.8","6.6","1","0.6","0.8","0.8","11.4","5.8","12.4","6.5","123.1","100.4"
"387","DeAndre Jordan","Den","C","34.7","35","14.3","13.7","30.2","41","0.439","96","0.771","1","1","0.778","0.735","4.8","4.8","0.9","0.2","0.6","1.2","9.6","5.7","10.5","7.7","116","101.5"
"388","Garrison Mathews","Hou","G","26.4","45","13.4","14.3","9.6","45","0.911","15","0.467","155","0.342","0.509","0.564","4.8","1.4","0.5","0.5","0.1","0.4","6.1","5.3","6.6","4.5","116.8","112.9"
"389","Haywood Highsmith","Mia","F","26.3","46","18.9","12.2","15.3","26","0.462","92","0.522","102","0.353","0.526","0.526","4.7","3.6","0.7","0.7","0.3","0.8","8.3","5.4","9","4.8","103.7","105.8"
"390","Chuma Okeke","Orl","F","24.6","22","18.8","11.8","10.5","21","0.762","28","0.5","65","0.308","0.473","0.509","4.7","3.5","1.2","0.5","0.4","0.5","8.3","5.9","9.5","5.8","112.6","108.7"
"391","Payton Pritchard","Bos","G","25.1","45","12.5","18.9","13.1","15","0.733","78","0.487","127","0.331","0.493","0.503","4.7","1.5","1","0.3","0","0.7","6.2","5.8","7.3","6.1","100.8","110.5"
"392","Dean Wade","Cle","F-C","26.3","38","20.3","10.2","8.4","23","0.652","43","0.558","109","0.349","0.533","0.546","4.7","3.4","0.8","0.6","0.5","0.4","8.1","5.5","8.9","4.6","113","101.9"
"393","Cody Zeller","Mia","F-C","30.4","10","13","16","21.4","23","0.739","28","0.536","1","0","0.517","0.601","4.7","3.5","0.6","0.2","0.4","0.8","8.2","5.3","8.8","6.6","120.5","96.5"
"394","Patrick Baldwin Jr.","Gol","F","20.3","25","8.2","22.8","9.1","6","0.667","23","0.435","76","0.395","0.556","0.561","4.6","1.4","0.3","0.2","0.2","0.4","6","4.8","6.2","6.1","100.7","110.8"
